Date,Open,Close,Low,High,Volume,Volatility,Daily Return,Day_Type,DayOfWeek
2021-10-14 00:00:00,"101,8519","102,5762","101,7877","103,2548",5194900,"0,0144","0,0071",Bull,4
2021-10-15 00:00:00,"103,1080","102,1911","101,7327","103,5390",5860900,"0,0175","-0,0089",Bear,5
2021-10-18 00:00:00,"102,1820","103,9516","101,7418","104,1350",4958400,"0,0234","0,0173",Bull,1
2021-10-19 00:00:00,"104,2909","104,0617","103,3923","105,0244",5799300,"0,0156","-0,0022",Bear,2
2021-10-20 00:00:00,"103,6674","104,4009","103,3465","105,5471",7645200,"0,0212","0,0071",Bull,3
2021-10-21 00:00:00,"104,4651","104,9327","104,1717","105,0428",3684300,"0,0083","0,0045",Bull,4
2021-10-22 00:00:00,"104,9052","105,0336","104,5935","105,4279",3396400,"0,0080","0,0012",Bull,5
2021-10-25 00:00:00,"105,2078","105,1803","103,9424","105,3362",4290600,"0,0132","-0,0003",Bear,1
2021-10-26 00:00:00,"105,3729","105,3729","104,7585","105,7029",5948000,"0,0090","0,0000",Bear,2
2021-10-27 00:00:00,"105,9689","104,0800","103,6857","105,9689",5853900,"0,0215","-0,0178",Bear,3
2021-10-28 00:00:00,"104,2909","103,7957","103,1172","105,0794",7697600,"0,0188","-0,0047",Bear,4
2021-10-29 00:00:00,"98,5693","97,2581","95,3784","99,0186",27419600,"0,0369","-0,0133",Bear,5
2021-11-01 00:00:00,"98,3217","100,6782","98,2942","100,9991",14184600,"0,0275","0,0240",Bull,1
2021-11-02 00:00:00,"101,0908","102,1911","100,6690","102,5304",11538900,"0,0184","0,0109",Bull,2
2021-11-03 00:00:00,"102,0811","103,2548","100,9625","103,5390",6422600,"0,0252","0,0115",Bull,3
2021-11-04 00:00:00,"102,3286","102,8421","101,7143","103,0805",8212600,"0,0134","0,0050",Bull,4
2021-11-05 00:00:00,"103,8324","107,1975","103,7407","107,5826",10256800,"0,0370","0,0324",Bull,5
2021-11-08 00:00:00,"106,8399","105,5929","105,0519","107,7110",8753300,"0,0249","-0,0117",Bear,1
2021-11-09 00:00:00,"105,1253","104,6485","103,9516","105,9963",6754700,"0,0195","-0,0045",Bear,2
2021-11-10 00:00:00,"103,9762","104,2893","103,6908","105,4036",6563700,"0,0165","0,0030",Bull,3
2021-11-11 00:00:00,"104,2893","102,6226","101,7938","104,2893",7191900,"0,0239","-0,0160",Bear,4
2021-11-12 00:00:00,"102,8988","102,8804","102,3002","103,3592",7350400,"0,0103","-0,0002",Bear,5
2021-11-15 00:00:00,"103,2488","103,0185","102,7515","104,6577",6566100,"0,0185","-0,0022",Bear,1
2021-11-16 00:00:00,"103,3961","103,3500","102,6870","104,1604",7965000,"0,0143","-0,0004",Bear,2
2021-11-17 00:00:00,"103,3408","103,6171","102,8251","104,1604",5768600,"0,0129","0,0027",Bull,3
2021-11-18 00:00:00,"103,2488","103,9670","102,5305","104,2709",5632100,"0,0169","0,0070",Bull,4
2021-11-19 00:00:00,"103,8105","102,0148","101,0847","103,9670",6921800,"0,0278","-0,0173",Bear,5
2021-11-22 00:00:00,"102,3187","102,6318","101,9135","103,6816",5967300,"0,0173","0,0031",Bull,1
2021-11-23 00:00:00,"103,1382","104,5932","102,9356","105,0813",7911000,"0,0208","0,0141",Bull,2
2021-11-24 00:00:00,"104,4367","104,9524","104,1328","105,2194",4464300,"0,0104","0,0049",Bull,3
